Order name,Day,Shipping region,Shipping city,Total sales (last click),First order referring channel,Order UTM campaign,Referring channel,UTM campaign name,Notes,Found on shopify or zoho
#83389,29-07-2026,Uttar Pradesh,Noida,16913.3,fb ,Search brand,fb,Search brand," 368273cx could be, first visit 26 july",zoho sales iq
#83382,29-07-2026,Himachal Pradesh,SUNDARNAGAR,4799,Amazon,,Amazon,,,
#83392,29-07-2026,Telangana,"Hyderabad,",13909.4,google,search_brand_18098202173,google,search_brand_18098202173,,
#83406,29-07-2026,Maharashtra,Mumbai,5949.15,google,shoppingindexdecor_23361314596,google,shoppingindexdecor_23361314596,cx name clarinda not able to find visiter id need to be confirmed,zoho sales iq
#83383,29-07-2026,Maharashtra,Mumbai,10538.3,direct ,,direct,,could be cx 379613 need to be confirmed,zoho sales iq
#83402,29-07-2026,Maharashtra,Mumbai,2199,google,lightingshopping_21285710791,google,lightingshopping_21285710791,could be cx 778884 but he visited on 22 july the order is on 29 need to be confirmed,
#83386,29-07-2026,Andhra Pradesh,Kolanukonda,7054.15,,,,,existing cx no track,
#83390,29-07-2026,Karnataka,BENGALURU,11644.15,google,lightingshopping_21285710791,direct,,cx id 305209 very sure justneed to be confirmed,zoho sales iq
#83446,30/07/2026,Karnataka,Bengaluru,31582.8,referal,,direct,,,zoho sales iq
#83455,30/07/2026,Maharashtra,Mumbai,7798,google,Search_Brand_18098202173,direct,,,zoho sales iq
#83450,30/07/2026,Gujarat,Ahmedabad,5399,direct,,direct,,,zoho sales iq
#83451,30/07/2026,Gujarat,Ahmedabad,6099,direct,,direct,,,zoho sales iq
#83452,30/07/2026,Gujarat,Ahmedabad,2099,direct,,direct,,,zoho sales iq
#83453,30/07/2026,Gujarat,Ahmedabad,5399,direct,,direct,,,zoho sales iq
#83413,30/07/2026,Tamil Nadu,Chennai,13318.2,google,LightingSearchaimax,direct,,,zoho sales iq
#83443,30/07/2026,Maharashtra,Mumbai,20056.6,direct,,,,,zoho sales iq
#83445,30/07/2026,Maharashtra,Pimpri-Chinchwad,6199,facebook,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83418,30/07/2026,Delhi,New Delhi,17998.2,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83449,30/07/2026,Karnataka,BENGALURU,33698,direct,,google,Search_Brand_18098202173,,shopify
#83454,30/07/2026,Maharashtra,Thane,5299,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83426,30/07/2026,Haryana,Faridabad,9398,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83415,30/07/2026,Karnataka,Bengaluru,6119.1,direct,,google,LightingShopping_21285710791,,shopify
#83412,30/07/2026,Kerala,TIRUR,3149.1,google,,google,,,shopify
#83457,30/07/2026,Mizoram,Aizawl,10099,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83422,30/07/2026,Karnataka,Bangalore,2629.1,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83444,30/07/2026,Maharashtra,Ambad,3149.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83414,30/07/2026,Karnataka,Bengaluru,2999,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83419,30/07/2026,Telangana,"Bandlaguda Jagir, Sikenderguda",4589.1,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83433,30/07/2026,Karnataka,Bengaluru,4199,google,,direct,,,shopify
#83440,30/07/2026,Maharashtra,Mumbai South,11642.45,google,pmaxbleeders_20714640181,google,pmaxbleeders_20714640181,,zoho sales iq
#83435,30/07/2026,Maharashtra,Nashik,8754.15,google,lightingshopping_21285710791,direct,,"Visitor 48294
need to be confirmed",zoho sales iq
#83423,30/07/2026,Maharashtra,Mumbai,2639.2,direct ,,direct,,,zoho sales iq
#83441,30/07/2026,Karnataka,Bangalore,28598,google,,direct,,,shopify
#83417,30/07/2026,Karnataka,Bengaluru,16287.3,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83425,30/07/2026,Delhi,Delhi,41734.15,google,lightingshopping_21285710791,google,lightingshopping_21285710791,533536 nedd to be confirmed,zoho sales iq
#83436,30/07/2026,Manipur,Imphal,3149.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83437,30/07/2026,Uttarakhand,Nainital,3967,Tata,,Tata,,,shopify
#83424,30/07/2026,Karnataka,BENGALURU,2799,Amazon,,Amazon,,,shopify
#83439,30/07/2026,Karnataka,Bengaluru,17846.6,Google Search Engine,,google,lightingshopping_21285710791,,zoho sales iq
#83431,30/07/2026,Delhi,Delhi,23579.1,,,,,176096,zoho sales iq
#83420,30/07/2026,Maharashtra,HAVELI,2927,Tata,,Tata,,,shopify
#83447,30/07/2026,Karnataka,Bengaluru,22269.15,google,pmaxlightingnc_16828666790,Referral,,,zoho sales iq
#83416,30/07/2026,Karnataka,BENGALURU,5999,Amazon,,Amazon,,,shopify
#83434,30/07/2026,Chandigarh,chandigarh,5694.15,,,,,,zoho sales iq
#83438,30/07/2026,Uttarakhand,Nainital,3967,Tata,,Tata,,,shopify
#83442,30/07/2026,Punjab,Ludhiana,5939.1,direct,,facebook,,last visit from PB is 19 july,zoho sales iq
#83421,30/07/2026,Delhi,Delhi,2251.45,Tata,,Tata,,,shopify
#83456,30/07/2026,Maharashtra,Mumbai,17999,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83448,30/07/2026,Karnataka,Varthur,12407.45,google,,Referral,, #83448 need to be confirmed,zoho sales iq
#83458,31/07/2026,West Bengal,Kolkata,19349.1,google,shoppingindexdecor_23361314596,direct,,,zoho sales iq
#83473,31/07/2026,#N/A,#N/A,3043.8,direct,,Referral,,,zoho sales iq
#83476,31/07/2026,Maharashtra,"Kalina, Mumbai",31317.3,direct,,direct,,,zoho sales iq
#83460,31/07/2026,Tamil Nadu,Chennai,3199,google,PMaxLightingNC_16828666790,direct,,,zoho sales iq
#83478,31/07/2026,Rajasthan,Jaipur,4499.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83462,31/07/2026,West Bengal,Kolkata,16198.2,google,,google,,,shopify
#83465,31/07/2026,Gujarat,Veraval,5759.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83466,31/07/2026,Karnataka,Bengaluru,5899,direct,,direct,,,shopify
#83479,31/07/2026,Karnataka,Bangalore,20596,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83459,31/07/2026,Maharashtra,Mumbai,14758.2,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83467,31/07/2026,Karnataka,Bangalore,6699,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83477,31/07/2026,Madhya Pradesh,Indore,9538.2,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83463,31/07/2026,Gujarat,Ahmedabad,7369,Tata,,Tata,,,zoho sales iq
#83474,31/07/2026,Telangana,Hyderabad,5857,Tata,,Tata,,,zoho sales iq
#83464,31/07/2026,Uttar Pradesh,Noida,7308.3,facebook,catalog_lighting_cbo_asc_evergreen_120241545010470384,facebook,catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83475,31/07/2026,Karnataka,Kithiganur,60518.3,Referral,,direct,,,zoho sales iq
#83461,31/07/2026,Haryana,"GURUGRAM,",16630,Tata,,Tata,,,zoho sales iq
#83480,31/07/2026,Goa,"Marra, Candolim",2809.1,google,shoppingindexdecor_23361314596,google,shoppingindexdecor_23361314596,,zoho sales iq
#83468,31/07/2026,Haryana,Gurgaon,4674.15,facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83471,31/07/2026,Delhi,Delhi,11000,google,lightingshopping_21285710791,google,lightingshopping_21285710791,,zoho sales iq
#83470,31/07/2026,West Bengal,Murshidabad,21239.1,google,pmaxbleeders_20714640181,google,pmaxbleeders_20714640181,,zoho sales iq
#83481,01/08/2026,Haryana,Faridabad,7069,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83482,01/08/2026,Tamil Nadu,Chennai,14847.3,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,zoho sales iq
#83484,01/08/2026,Tamil Nadu,CHENNAI,19618.2,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83483,01/08/2026,Karnataka,BENGALURU,8099,Amazon,,Amazon,,,zoho sales iq
#83486,01/08/2026,Karnataka,Bangalore,39096.6,Referral,,google,pmaxlightingnc_16828666790,,zoho sales iq
#83485,01/08/2026,Telangana,Hyderabad,7369,Tata,,Tata,,,zoho sales iq
#83488,01/08/2026,Maharashtra,Mumbai,9898,google,LightingShopping_21285710791,direct,,,zoho sales iq
#83487,01/08/2026,Uttar Pradesh,shankerganj,3683,Tata,,Tata,,,zoho sales iq
#83489,01/08/2026,Haryana,Sonipat,3059.15,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83492,01/08/2026,#N/A,#N/A,5899,direct,1,direct,,,zoho sales iq
#83491,01/08/2026,Uttarakhand,Rishikesh,3239.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83490,01/08/2026,Rajasthan,Jaipur,6099,instagram,041126_Advantage,instagram,041126_Advantage,,shopify
#83494,01/08/2026,Gujarat,Ahmedabad,2899.1,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83493,01/08/2026,Haryana,FARIDABAD,3739.15,direct,,direct,,,zoho sales iq
#83496,01/08/2026,Tamil Nadu,Chennai,5099,direct,,direct,,,zoho sales iq
#83495,01/08/2026,Uttarakhand,Mussoorie,8998,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83497,01/08/2026,Delhi,delhi,8583.3,google,shoppingindexdecor_23361314596,direct,,,zoho sales iq
#83499,01/08/2026,Chandigarh,Chandigarh,14000,Referral,,direct,,,zoho sales iq
#83502,01/08/2026,Maharashtra,Aurangabad,13915.35,,,,,,zoho sales iq
#83501,01/08/2026,Gujarat,Ahmedabad,65685.75,google,search_brand_18098202173,google,search_brand_18098202173,,zoho sales iq
#83500,01/08/2026,Nagaland,Dimapur,6199,Amazon,,Amazon,,,zoho sales iq
#83503,01/08/2026,Karnataka,Bangalore,6999,direct,,direct,,,zoho sales iq
#83504,01/08/2026,Karnataka,Bangalore,9089.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,zoho sales iq
#83505,01/08/2026,Karnataka,Dharwad,2449.1,direct,,google,Search_Brand_18098202173,,shopify
#83506,02/08/2026,Uttar Pradesh,Faizabad,4769.1,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83508,02/08/2026,Delhi,New Delhi,12198,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83509,02/08/2026,Delhi,New Delhi,26998,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83507,02/08/2026,Ladakh,Leh,29997,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83510,02/08/2026,Karnataka,Bengaluru,5399,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83511,02/08/2026,Karnataka,Bengaluru,19548.3,direct,,direct,,,zoho sales iq
#83512,02/08/2026,Gujarat,Anjar,3499,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83513,02/08/2026,Tamil Nadu,Chennai,45809.05,direct,,direct,,,zoho sales iq
#83521,02/08/2026,Uttar Pradesh,Gautam Buddha Nagar,1611,direct,,direct,,,zoho sales iq
#83518,02/08/2026,Gujarat,Ahmedabad,21196,google,,google,,,shopify
#83520,02/08/2026,Karnataka,Bengaluru,4599,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,,shopify
#83514,02/08/2026,Karnataka,Bangalore,3305,Tata,,Tata,,,zoho sales iq
#83519,02/08/2026,Karnataka,Bangalore,6288.3,google,shoppingindexdecor_23361314596,google,shoppingindexdecor_23361314596,,zoho sales iq
#83515,02/08/2026,Karnataka,Bangalore,3305,Tata,,Tata,,,zoho sales iq
#83516,02/08/2026,Rajasthan,Jaipur,6613,Tata,,Tata,,,zoho sales iq
#83517,02/08/2026,Madhya Pradesh,Indore,7274,Tata,,Tata,,,zoho sales iq
#83522,02/08/2026,Delhi,New Delhi,9089.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83523,02/08/2026,Karnataka,Bengaluru,4859.1,Referral,,direct,,,zoho sales iq
#83524,02/08/2026,Gujarat,Ahmedabad,5939.1,instagram,,instagram,,,shopify
#83525,02/08/2026,Maharashtra,Mumbai,2999,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,,shopify
#83526,02/08/2026,Delhi,New Delhi,6204.15,,,,,,zoho sales iq
#83528,02/08/2026,Uttarakhand,Dehradun,12329.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83527,02/08/2026,Telangana,Hyderabad,6299.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,,,shopify
#83529,02/08/2026,Uttar Pradesh,Noida,16199.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83530,02/08/2026,Haryana,Gurgaon,4499.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,zoho sales iq
#83532,02/08/2026,Telangana,Hyderabad,7918.2,google,Pmaxbleeders_20714640181,direct,,,zoho sales iq
#83531,02/08/2026,Delhi,Delhi,7559.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83533,02/08/2026,Delhi,New Delhi,3199,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83554,03/08/2026,West Bengal,Kolkata,2989.1,google,,direct,,,
#83558,03/08/2026,Maharashtra,Mumbai,11519.1,google,PMaxLightingNC_16828666790,direct,,,
#83574,03/08/2026,Maharashtra,Pune,5038.2,Bing,,direct,,,
#83545,03/08/2026,Haryana,Gurugram,5556,google,LightingSearchaimax,direct,,,
#83534,03/08/2026,Kerala,Pathanamthitta,22846.5,Google,,direct,,,
#83549,03/08/2026,Maharashtra,Mumbai,14130.9,direct,,direct,,,
#83557,03/08/2026,Karnataka,Bengaluru,20878.2,direct,,direct,,,
#83569,03/08/2026,Uttar Pradesh,Kanpur,10618.2,google,PMaxLightingNC_16828666790,direct,,,
#83563,03/08/2026,Odisha,Bhubaneswar,12238.2,google,Search_Brand_18098202173,direct,,,
#83539,03/08/2026,Maharashtra,Mumbai,26454.6,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,
#83561,03/08/2026,Maharashtra,Mumbai,8899,direct,,direct,,,
#83541,03/08/2026,Punjab,Jalandhar,3099,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83572,03/08/2026,West Bengal,Kolkata,3799,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,
#83570,03/08/2026,Karnataka,Bengaluru,9598,google,,direct,,,
#83542,03/08/2026,Maharashtra,Mumbai,2999,google,BrandShopping_23291591904,google,BrandShopping_23291591904,,
#83573,03/08/2026,Delhi,New Delhi,14597,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,
#83564,03/08/2026,Maharashtra,Mumbai,20397,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,
#83553,03/08/2026,Delhi,DELHI,10439.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,
#83544,03/08/2026,Goa,Guirim,2399,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,
#83537,03/08/2026,Goa,panaji,3199,google,,direct,,,
#83548,03/08/2026,Kerala,Kozhikode,9699,google,,google,,,
#83571,03/08/2026,Punjab,Mohali,5699,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,
#83562,03/08/2026,Maharashtra,Mumbai,7018.2,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,
#83560,03/08/2026,Uttar Pradesh,Meerut,3399,instagram,,,,,
#83567,03/08/2026,Delhi,new delhi,11134.15,google,search_brand_18098202173,direct,,,
#83552,03/08/2026,Haryana,Gurgaon,2409.15,google,shoppingindexdecor_23361314596,direct,,,
#83568,03/08/2026,West Bengal,Kolkata,2719.1,Facebook,,Facebook,,,
#83538,03/08/2026,Uttar Pradesh,Noida,16108,Tata,,Tata,,,
#83536,03/08/2026,Kerala,ERNAKULAM,15599,Amazon,,Amazon,,,
#83559,03/08/2026,Tamil Nadu,Chennai,6204.15,Facebook ,,Facebook ,,,
#83565,03/08/2026,Gujarat,Ahmedabad,4399,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,
#83540,03/08/2026,Maharashtra,Mumbai,4929.15,Facebook ,072926_advantage+catalog_terracotta_decor_cbo_asc_evergreen_120246907043390384,Facebook ,072926_advantage+catalog_terracotta_decor_cbo_asc_evergreen_120246907043390384,740774 need to be confirmed,
#83551,03/08/2026,Kerala,palakkad,5268.3,Facebook ,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,Facebook ,,,
#83550,03/08/2026,Karnataka,Koramangala,11359.4,google search term,,google,shoppingindexdecor_23361314596,,
#83547,03/08/2026,Maharashtra,"Kandivali East, Mumbai",12748.3,,,,,"2597e70c-5026-416f-b501-1c983d55ae40_a130        Jul 31, 7:35 PM        Mumbai        ~66 hrs (2.75 days) before        1
2        ed3b21a3-646f-4c79-bad2-21c4ec79ebd5_a130        Jul 31, 4:07 PM        Mumbai        ~70 hrs before        1
3        f19ed8b7-ce4d-4627-b5d2-a2b44989bbf3_a130        Jul 31, 1:23 PM        Mumbai        ~73 hrs before        1
4        eb2f9006-5351-4bbb-b756-a9e771446b3e_a129        Jul 31, 1:03 PM        Panipat, Haryana        ~73 hrs before        3
5        7b3e0766-4bbd-442c-a798-8b19e6f7c78b_a130        Jul 30, 3:48 PM        Mumbai        ~94 hrs before        1",
#83566,03/08/2026,Gujarat,Baroda,1036.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,
#83535,03/08/2026,Mizoram,Lawngtlai Iii,14038.2,ig,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83556,03/08/2026,Karnataka,Bangalore,22400,google,pmaxlightingnc_16828666790,google,pmaxlightingnc_16828666790,,
#83575,04/08/2026,Karnataka,Bangalore,4679.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83576,04/08/2026,Karnataka,Bengaluru,6999,google,lightingshopping_21285710791,direct,,,shopify
#83577,04/08/2026,Haryana,Gurgaon,1802,google,sag_organic,google,sag_organic,,zoho sales iq
#83581,04/08/2026,Delhi,New Delhi,3099,google,lightingshopping_21285710791,direct,,,shopify
#83580,04/08/2026,Karnataka,Bengaluru,16198,direct,,direct,,,zoho sales iq
#83579,04/08/2026,Gujarat,Ahmedabad,14197,instagram,,instagram,,,shopify
#83578,04/08/2026,Kerala,Kochi,1758,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,zoho sales iq
#83582,04/08/2026,Karnataka,Bengaluru,3799,google,,google,,,shopify
#83584,04/08/2026,Maharashtra,Mumbai,5579.1,direct,,direct,,,zoho sales iq
#83583,04/08/2026,Kerala,palakkad,2634.15,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,Referral,,,zoho sales iq
#83585,04/08/2026,Punjab,Mohali,112617.4,Facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,Facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,,zoho sales iq
#83587,04/08/2026,Gujarat,Ahmdabad,12598,direct,,direct,,,zoho sales iq
#83590,04/08/2026,Karnataka,Bangalore,3059.1,Referral,,Google,search_brand_18098202173,,zoho sales iq
#83594,04/08/2026,Delhi,Delhi,6374.12,Tata,,Tata,,,zoho sales iq
#83589,04/08/2026,Karnataka,Bangalore,4674.15,direct,,direct,,,zoho sales iq
#83588,04/08/2026,Haryana,GURUGRAM,5942.2,Tata,,Tata,,,zoho sales iq
#83593,04/08/2026,Maharashtra,Mumbai,4723,Tata,,Tata,,,zoho sales iq
#83591,04/08/2026,Haryana,", GURUGRAM,",3057.12,Tata,,Tata,,,zoho sales iq
#83592,04/08/2026,Nagaland,Kohima,2502.2,google,ShoppingIndexdecor_23361314596,direct,,,zoho sales iq
#83586,04/08/2026,Tamil Nadu,Chennai,5101,Tata,,Tata,,,zoho sales iq
#83599,04/08/2026,Maharashtra,Mumbai,12868.2,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83598,04/08/2026,Gujarat,Ahmedabad,7559.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83600,04/08/2026,Maharashtra,Mumbai,39798,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83595,04/08/2026,Delhi,Delhi,6374.12,Tata,,Tata,,,zoho sales iq
#83596,04/08/2026,Uttar Pradesh,Noida,2077,Tata,,Tata,,,zoho sales iq
#83597,04/08/2026,Uttar Pradesh,Noida,2077,Tata,,Tata,,,zoho sales iq
#83602,04/08/2026,Bihar,MUZAFFARPUR,11789.1,google,LightingSearchaimax,google,LightingSearchaimax,,shopify
#83601,04/08/2026,Maharashtra,Navi Mumbai,2999,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,,shopify
#83604,04/08/2026,Delhi,Delhi West,13499,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83603,04/08/2026,Karnataka,Bangalore,7223.3,google,pmaxlightingnc_16828666790,Referral,,,zoho sales iq
#83607,04/08/2026,Maharashtra,Mumbai,5579.1,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83605,04/08/2026,Tamil Nadu,Ooty,2809.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
