"Landing page type","Landing page path","UTM source","UTM campaign","Referrer source","Sessions","Pageviews","Conversion rate","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions"
"Product","/products/velora-12-light-candle-chandelier-silver","google","PMaxLightingNC_16828666790","search",1318,1895,0,0,5,6
"Product","/products/velora-12-light-candle-chandelier-silver","google","LightingShopping_21285710791","search",1380,1890,0,0,1,8
"Product","/products/marchese-8-light-crystal-chandelier-pink","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1184,1861,0,0,26,37
"Product","/products/lisbon-oval-luxury-chandelier","google","LightingShopping_21285710791","search",1214,1793,0,0,4,11
"Collection","/collections/table-lamps",,,"direct",676,1725,0.0029585798816568047,2,6,12
"Product","/products/aball-island-5-light-chandelier-black","google","Pmaxbleeders_20714640181","search",677,1648,0.0014771048744460858,1,8,16
"Product","/products/spiral-glass-ball-pendant-light-gold","google","Pmaxbleeders_20714640181","search",698,1630,0,0,6,12
"Product","/products/nielle-luxury-rectangular-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1380,1580,0,0,4,6
"Product","/products/aureline-8-lights-crystal-leaf-chandelier","google","Pmaxbleeders_20714640181","search",697,1528,0,0,0,1
"Product","/products/fleur-glass-ceiling-light-white","google","LightingShopping_21285710791","search",561,1492,0,0,2,8
"Collection","/collections/ceiling-lights",,,"search",618,1484,0.0016181229773462784,1,2,6
"Product","/products/emmet-victorian-12-light-crystal-chandelier-amber","google","PMaxLightingNC_16828666790","search",889,1425,0.0011248593925759281,1,4,14
"Product","/products/loop-strip-led-chandelier-gold","google","PMaxLightingNC_16828666790","search",902,1397,0,0,4,7
"Product","/products/ravenclay-terracotta-vase-small","google","ShoppingIndexdecor_23361314596","search",405,1321,0,0,4,22
"Product","/products/marchese-6-light-crystal-chandelier-blue","google","LightingShopping_21285710791","search",436,1318,0.0022935779816513763,1,1,7
"Product","/products/encino-modern-wall-light-gold","google","LightingShopping_21285710791","search",869,1287,0,0,0,5
"Collection","/collections/pendant-lights","google","LightingSearchaimax_15393315826","search",395,1255,0,0,1,8
"Product","/products/nielle-luxury-rectangular-chandelier","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",1082,1210,0,0,1,5
"Product","/products/macaron-loft-led-ceiling-light-yellow","google","Pmaxbleeders_20714640181","search",464,1185,0.0021551724137931034,1,5,14
"Collection","/collections/wall-lights","google","LightingSearchaimax_15393315826","search",459,1176,0.002178649237472767,1,2,10
"Product","/products/lantern-gate-light-large","google","PMaxLightingNC_16828666790","search",754,1130,0,0,6,13
"Product","/products/baldwin-ceramic-tablelamp-home-decor-lamps-and-lighting",,,"direct",130,1114,0.007692307692307693,1,1,1
"Product","/products/japandi-style-outdoor-wall-light","google","PMaxLightingNC_16828666790","search",784,1101,0,0,2,6
"Product","/products/kara-7-light-chandelier-gold","google","Pmaxbleeders_20714640181","search",423,1091,0,0,5,7
"Collection","/collections/table-lamps","google","LightingSearchaimax","search",430,1088,0,0,2,10
"Product","/products/macaron-loft-led-ceiling-light-grey","google","PMaxLightingNC_16828666790","search",497,1078,0,0,2,7
"Collection","/collections/vases",,,"direct",411,1073,0,0,4,9
"Product","/products/vista-outdoor-wall-light-brown","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",609,1068,0.0049261083743842365,3,9,12
"Product","/products/solara-ribbed-ceramic-pillar-floor-lamp","google","LightingShopping_21285710791","search",403,1067,0,0,2,8
"Product","/products/lisbon-oval-luxury-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",824,1060,0,0,3,8
"Collection","/collections/ceiling-lights",,,"direct",349,1055,0,0,0,2
"Product","/products/marchese-8-light-crystal-chandelier-pink","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",814,1044,0,0,5,9
"Product","/products/marchese-8-light-crystal-chandelier-pink","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",691,1040,0,0,10,11
"Product","/products/royal-grandeur-victorian-sconce","google","PMaxLightingNC_16828666790","search",674,1028,0,0,5,6
"Collection","/collections/wall-lights","google","BestsellersDemandGen_23697546917","social",367,1028,0,0,1,4
"Product","/products/ornate-8-light-droplet-crystal-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",622,991,0,0,1,4
"Product","/products/ourelle-terracotta-vase-medium","google","Pmaxbleeders_20714640181","search",425,990,0.002352941176470588,1,2,5
"Product","/products/blumen-glass-ceiling-light","google","LightingShopping_21285710791","search",326,986,0.003067484662576687,1,3,7
"Collection","/collections/indoor-lighting","ig",,"social",173,986,0,0,1,11
"Product","/products/monte-carlo-7-light-crystal-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",592,981,0,0,6,15
"Product","/products/solara-ribbed-ceramic-pillar-floor-lamp","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",561,956,0,0,1,1
"Product","/products/jenesen-picture-light-antique-brass","google","LightingShopping_21285710791","search",703,954,0.001422475106685633,1,3,6
"Product","/products/american-style-tranquil-aura-table-lamp-with-pleated-green-shade","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",501,936,0.001996007984031936,1,7,18
"Product","/products/artisan-crafted-american-style-ceramic-table-lamp-with-beige-shade","google","LightingShopping_21285710791","search",336,932,0,0,2,6
"Product","/products/ember-12-light-victorian-candle-chandelier-chrome","google","PMaxLightingNC_16828666790","search",486,922,0,0,0,5
"Product","/products/milkstone-terracotta-vase-small","google","ShoppingIndexdecor_23361314596","search",420,908,0.004761904761904762,2,5,9
"Collection","/collections/outdoor-lighting","google","BestsellersDemandGen_23697546917","direct",532,904,0.0018796992481203006,1,1,3
"Product","/products/milkstone-terracotta-vase-small","google","Pmaxbleeders_20714640181","search",398,894,0,0,3,14
"Product","/products/macaron-loft-led-ceiling-light-grey","google","LightingShopping_21285710791","search",337,876,0.002967359050445104,1,4,8
"Product","/products/thaliya-brass-tray-medium","google","ShoppingIndexdecor_23361314596","search",470,872,0.002127659574468085,1,7,17
"Product","/products/black-cluster-metal-hanging-pendant-light","google","Pmaxbleeders_20714640181","search",587,869,0,0,1,4
"Product","/products/eason-metal-floor-lamp","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",523,868,0,0,1,6
"Collection","/collections/outdoor-wall-lights",,,"direct",261,859,0.0038314176245210726,1,2,11
"Product","/products/jasmine-glass-ceiling-light","google","LightingShopping_21285710791","search",358,858,0.002793296089385475,1,3,9
"Product","/products/visage-outdoor-wall-light-black","google","Pmaxbleeders_20714640181","search",516,853,0,0,3,4
"Product","/products/joffret-led-linear-chandelier","google","Pmaxbleeders_20714640181","search",479,850,0,0,0,2
"Product","/products/american-style-tranquil-aura-table-lamp-with-pleated-green-shade","google","Pmaxbleeders_20714640181","search",310,839,0.0032258064516129032,1,6,15
"Product","/products/ourelle-terracotta-vase-medium","google","ShoppingIndexdecor_23361314596","search",372,839,0,0,4,12
"Product","/products/visage-outdoor-wall-light-black","google","LightingShopping_21285710791","search",466,837,0.002145922746781116,1,3,8
"Product","/products/valhalla-outdoor-wall-light-dark-brown","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",499,830,0.002004008016032064,1,9,15
"Collection","/collections/pendant-lights","google","BestsellersDemandGen_23697546917","social",336,827,0,0,0,4
"Product","/products/lynora-multicolor-crystal-chandelier","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",705,800,0,0,1,3
"Collection","/collections/indoor-lighting","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",481,790,0,0,1,3
"Product","/products/coral-mollusk-ceramic-bowl-off-white","google","Pmaxbleeders_20714640181","search",155,776,0.012903225806451613,2,6,8
"Product","/products/kepler-metal-wall-light-black","google","LightingShopping_21285710791","search",288,773,0,0,1,3
"Product","/products/leonardo-wall-light-gold","google","Pmaxbleeders_20714640181","search",295,763,0.003389830508474576,1,2,4
"Collection","/collections/floor-lamps",,,"direct",350,763,0,0,0,6
"Product","/products/sepia-terracotta-vase-medium","google","ShoppingIndexdecor_23361314596","search",343,747,0.0029154518950437317,1,2,7
"Product","/products/lynora-multicolor-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",695,736,0,0,0,2
"Collection","/collections/best-sellers-indoor-lights",,,"direct",201,734,0,0,1,8
"Collection","/collections/wall-lights","google","BestsellersDemandGen_23697546917","search",356,733,0,0,0,6
"Product","/products/lisbon-oval-luxury-chandelier","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",599,733,0,0,2,3
"Product","/products/elantra-12-light-crystal-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",465,727,0,0,12,18
"Product","/products/macaron-loft-led-ceiling-light-yellow","google","LightingShopping_21285710791","search",257,714,0.007782101167315175,2,4,8
"Product","/products/vintage-bronze-wall-light-white","google","Pmaxbleeders_20714640181","search",142,706,0.007042253521126761,1,5,8
"Collection","/collections/wall-lights","google","BestsellersDemandGen_23697546917","direct",331,685,0,0,0,5
"Product","/products/artisan-crafted-american-style-ceramic-table-lamp-with-beige-shade","google","Pmaxbleeders_20714640181","search",188,684,0.005319148936170213,1,5,8
"Product","/products/vintage-outdoor-pendant-light-black","google","PMaxLightingNC_16828666790","search",496,683,0,0,6,12
"Collection","/collections/outdoor-lighting",,,"direct",275,678,0.0036363636363636364,1,6,7
"Product","/products/ozera-trumpet-ceiling-light","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",414,669,0,0,2,9
"Product","/products/marchese-6-light-crystal-chandelier-blue","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",298,646,0,0,1,5
"Product","/products/stream-outdoor-wall-light-white-glass","google","Pmaxbleeders_20714640181","search",281,644,0.0035587188612099642,1,4,9
"Product","/products/ornate-8-light-droplet-crystal-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",341,640,0,0,2,5
"Product","/products/chateau-1-light-crystal-sconce","google","PMaxLightingNC_16828666790","search",405,635,0,0,0,1
"Product","/products/kara-7-light-chandelier-gold","google","PMaxLightingNC_16828666790","search",275,628,0,0,0,3
"Product","/products/monte-carlo-7-light-crystal-chandelier","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",529,623,0,0,2,5
"Product","/products/flambeau-3-light-victorian-wall-torch","google","BestsellersDemandGen_23697546917","search",434,617,0,0,4,6
"Product","/products/valhalla-outdoor-wall-light-dark-brown","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",459,614,0.002178649237472767,1,4,6
"Product","/products/cara-table-lamp-paprika-finish","google","Pmaxbleeders_20714640181","search",273,608,0,0,1,4
"Product","/products/american-style-tranquil-aura-table-lamp-with-pleated-green-shade","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",325,607,0,0,7,11
"Product","/products/tripura-gold-metal-floor-lamp","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",318,600,0,0,2,6
"Collection","/collections/home-decor",,,"direct",230,599,0,0,1,6
"Collection","/collections/indoor-lighting",,,"social",147,598,0,0,2,4
"Product","/products/macaron-loft-led-ceiling-light-grey","google","Pmaxbleeders_20714640181","search",276,597,0.0036231884057971015,1,1,4
"Product","/products/jasmine-glass-hanging-light-green","google","LightingShopping_21285710791","search",200,588,0.005,1,2,4
"Product","/products/ember-6-light-victorian-candle-chandelier-amber","google","Pmaxbleeders_20714640181","search",270,585,0,0,0,2
"Product","/products/castle-outdoor-pathway-light-black","google","Pmaxbleeders_20714640181","search",333,583,0,0,5,5
"Collection","/collections/pendant-lights",,,"search",163,580,0,0,3,6
"Product","/products/torchbearer-outdoor-wall-sconce","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",422,578,0.004739336492890996,2,7,11
"Product","/products/float-suspension-wall-sconce-white","google","Pmaxbleeders_20714640181","search",122,577,0,0,1,1
"Product","/products/monte-carlo-7-light-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",412,569,0,0,3,5
"Collection","/collections/pendant-lights","google","BestsellersDemandGen_23697546917","direct",354,567,0,0,1,3
"Product","/products/spiral-glass-ball-pendant-light-gold","google","LightingShopping_21285710791","search",263,564,0,0,5,6
"Product","/products/lisbon-oval-luxury-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",390,560,0,0,4,6
"Collection","/collections/table-lamps",,,"search",198,557,0.005050505050505051,1,2,5
"Product","/products/nielle-luxury-rectangular-chandelier","google","LightingShopping_21285710791","search",295,556,0,0,0,1
"Product","/products/float-wall-sconce-amber",,,"social",258,556,0,0,0,4
"Product","/products/umbra-pendant-light-chrome","google","Pmaxbleeders_20714640181","search",163,549,0,0,1,5
"Collection","/collections/indoor-lighting","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",276,548,0,0,7,11
"Collection","/collections/table-lamps","google","BestsellersDemandGen_23697546917","search",229,548,0,0,0,1
"Product","/products/marchese-6-light-crystal-chandelier-blue","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",276,547,0.0036231884057971015,1,3,11
"Collection","/collections/brass-decorative-items",,,"direct",193,539,0.0051813471502590676,1,1,2
"Product","/products/vintage-pendant-light-with-glass-shade","google","LightingShopping_21285710791","search",205,538,0,0,0,2
"Product","/products/black-white-striped-ceramic-sculpture","google","Pmaxbleeders_20714640181","search",161,533,0,0,0,4
"Product","/products/pumpkin-outdoor-gate-light-small","google","PMaxLightingNC_16828666790","search",362,533,0,0,2,4
"Product","/products/aldo-beaded-metal-hanging-light","google","LightingShopping_21285710791","search",187,531,0.0053475935828877,1,1,2
"Product","/products/florence-decorative-table-lamp-with-green-shade","google","Pmaxbleeders_20714640181","search",111,531,0,0,2,4
"Product","/products/eiffel-tube-linear-light","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",333,528,0,0,0,3
"Collection","/collections/indoor-lighting",,,"search",118,522,0.01694915254237288,2,3,6
"Product","/products/modern-style-black-metal-glass-hanging-pendant-light","google","LightingShopping_21285710791","search",235,522,0,0,0,3
"Product","/products/ravello-2-light-pole-lamp","google","Pmaxbleeders_20714640181","search",312,518,0,0,1,4
"Product","/products/chamberlin-outdoor-gate-light-gold","google","PMaxLightingNC_16828666790","search",339,516,0,0,2,3
"Product","/products/flying-saucer-pendant-light-white","google","Pmaxbleeders_20714640181","search",150,510,0,0,1,3
"Product","/products/neoport-luxury-oval-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",369,508,0,0,1,0
"Product","/products/velora-12-light-candle-chandelier-gold","google","PMaxLightingNC_16828666790","search",300,505,0,0,1,2
"Product","/products/modern-hanging-pendant-light-black","google","PMaxLightingNC_16828666790","search",262,502,0,0,1,3
"Product","/products/cypress-picture-light-black","google","LightingShopping_21285710791","search",232,502,0.008620689655172414,2,3,4
"Product","/products/pleated-empire-softback-lamp-shade-off-white","google","LightingShopping_21285710791","search",220,501,0.004545454545454545,1,2,5
"Product","/products/romi-drop-hanging-light-smoky","google","LightingShopping_21285710791","search",159,501,0,0,1,3
"Product","/products/jasmine-glass-hanging-light-smoky","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",204,499,0,0,0,1
"Product","/products/meza-wall-lamp","google","LightingShopping_21285710791","search",271,497,0,0,0,3
"Product","/products/vista-outdoor-wall-light-brown","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",306,494,0,0,2,6
"Product","/products/adjustable-nordic-decorative-wall-light-yellow","google","Pmaxbleeders_20714640181","search",176,492,0,0,1,3
"Product","/products/lucia-luxury-8-light-candle-style-chandelier","google","LightingShopping_21285710791","search",269,491,0,0,1,3
"Product","/products/vista-outdoor-wall-light-brown","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",355,486,0,0,4,7
"Product","/products/linear-cluster-circle-pendant-nordic-light","google","LightingShopping_21285710791","search",196,484,0,0,0,2
"Product","/products/solara-ribbed-ceramic-pillar-floor-lamp","google","PMaxLightingNC_16828666790","search",251,483,0,0,0,2
"Product","/products/aball-island-5-light-chandelier-black","google","LightingShopping_21285710791","search",199,482,0,0,1,1
"Product","/products/solara-ribbed-ceramic-pillar-floor-lamp","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",300,482,0,0,3,4
"Product","/products/ubayy-ceramic-table-lamp","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",265,480,0.0037735849056603774,1,2,4
"Product","/products/chateau-1-light-crystal-sconce","google","Pmaxbleeders_20714640181","search",318,480,0,0,1,5
"Product","/products/joffret-led-linear-chandelier","google","LightingShopping_21285710791","search",277,480,0,0,0,1
"Product","/products/elantra-12-light-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",324,479,0,0,1,3
"Product","/products/valentina-retro-style-metal-wall-lamp-brown","google","LightingShopping_21285710791","search",98,477,0,0,1,2
"Product","/products/aureline-8-lights-crystal-leaf-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",423,474,0,0,1,1
"Product","/products/marchese-8-light-crystal-chandelier-chrome","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",303,474,0,0,9,9
"Product","/products/artisan-crafted-american-style-ceramic-table-lamp-with-beige-shade","google","BestsellersDemandGen_23697546917","search",296,470,0,0,0,0
"Product","/products/avior-5-light-chandelier-black","google","PMaxLightingNC_16828666790","search",163,468,0,0,1,3
"Product","/products/tercic-glass-wall-hanging-light","google","LightingShopping_21285710791","search",182,465,0,0,0,3
"Product","/products/elysia-12-light-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",407,461,0,0,1,3
"Product","/products/emmet-victorian-12-light-crystal-chandelier-amber","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",271,460,0,0,6,12
"Product","/products/royal-grandeur-victorian-sconce","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",246,460,0,0,5,7
"Product","/products/double-valmont-vanity-light-black",,,"direct",459,459,0,0,0,0
"Product","/products/vista-outdoor-wall-light-brown","google","PMaxLightingNC_16828666790","search",336,457,0,0,1,5
"Product","/products/lasha-wall-lamp-gold","google","Pmaxbleeders_20714640181","search",237,452,0.004219409282700422,1,1,2
"Product","/products/stream-outdoor-wall-light-white-glass","google","PMaxLightingNC_16828666790","search",261,450,0.0038314176245210726,1,3,6
"Product","/products/retro-loft-wall-light","google","Pmaxbleeders_20714640181","search",140,448,0,0,0,7
"Product","/products/avior-5-light-chandelier-black","google","Pmaxbleeders_20714640181","search",146,447,0,0,0,2
"Product","/products/aureline-8-lights-crystal-leaf-chandelier","google","LightingShopping_21285710791","search",195,444,0,0,1,5
"Product","/products/brass-cast-downward-wall-light","google","LightingShopping_21285710791","search",178,442,0,0,1,3
"Product","/products/ravenclay-terracotta-vase-small","ig","072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384","social",197,442,0,0,3,11
"Product","/products/vega-outdoor-wall-lamp-large","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",278,439,0,0,5,9
"Product","/products/kara-7-light-chandelier-gold","google","LightingShopping_21285710791","search",177,438,0,0,1,5
"Product","/products/loop-strip-led-chandelier-gold","google","Pmaxbleeders_20714640181","search",275,437,0.0036363636363636364,1,1,3
"Product","/products/royal-grandeur-victorian-sconce","google","BestsellersDemandGen_23697546917","search",302,436,0,0,6,9
"Product","/products/radiant-ring-rectangular-modern-led-chandelier","google","Pmaxbleeders_20714640181","search",201,436,0,0,1,2
"Product","/products/jenesen-picture-light-antique-brass","google","Pmaxbleeders_20714640181","search",307,435,0,0,1,1
"Product","/products/latica-glass-hanging-light","google","Pmaxbleeders_20714640181","search",166,434,0,0,2,3
"Product","/products/monte-carlo-7-light-crystal-chandelier","google","LightingShopping_21285710791","search",181,432,0,0,0,3
"Product","/products/velora-12-light-candle-chandelier-gold","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",365,428,0,0,1,6
"Product","/products/holophane-pendant-lamp-pointed-etched-glass","google","LightingShopping_21285710791","search",144,427,0,0,1,5
"Product","/products/ming-chinoiserie-table-lamp","google","LightingShopping_21285710791","search",158,426,0,0,0,3
"Product","/products/valhalla-outdoor-wall-light-dark-brown","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",357,426,0,0,0,3
"Product","/products/ceto-3-light-linear-chandelier-amber","google","LightingShopping_21285710791","search",125,426,0,0,2,5
"Product","/products/nordic-2-light-wall-washer-sconce-black","google","BestsellersDemandGen_23697546917","search",268,424,0,0,1,7
"Product","/products/ariel-4-light-chandelier-gold","google","Pmaxbleeders_20714640181","search",195,424,0,0,0,0
"Product","/products/aska-metal-floor-lamp-beige","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",205,423,0,0,0,3
"Product","/products/cement-industrial-style-pendant-lamp-grey","google","LightingShopping_21285710791","search",137,422,0,0,1,1
"Product","/products/swan-arcylic-led-wall-light-gold","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",296,421,0,0,1,6
"Product","/products/fleur-glass-ceiling-light-white","google","Pmaxbleeders_20714640181","search",150,419,0,0,0,4
"Product","/products/arts-outdoor-porch-hang-light-black","google","PMaxLightingNC_16828666790","search",233,418,0.004291845493562232,1,6,12
"Product","/products/torchbearer-outdoor-wall-sconce","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",328,418,0,0,4,9
"Product","/products/elysia-12-light-crystal-chandelier","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",370,417,0,0,1,1
"Product","/products/elite-venetian-8-light-crystal-chandelier","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",289,415,0,0,3,5
"Collection","/collections/floor-lamps","google","LightingSearchaimax","search",201,413,0,0,0,4
"Collection","/collections/floor-lamps",,,"search",146,413,0,0,0,2
"Product","/products/aurora-2-light-vintage-crystal-wall-lamp","google","PMaxLightingNC_16828666790","search",254,410,0,0,2,3
"Product","/products/float-wall-sconce-white","google","LightingShopping_21285710791","search",182,409,0,0,0,1
"Product","/products/riley-tube-linear-light-black","google","PMaxLightingNC_16828666790","search",172,409,0,0,1,2
"Product","/products/vintage-bronze-wall-light-white","google","PMaxLightingNC_16828666790","search",163,409,0.006134969325153374,1,1,4
"Collection","/collections/chandeliers",,,"search",134,408,0,0,0,2
"Product","/products/cosmos-terracotta-vase-small","google","Pmaxbleeders_20714640181","search",151,408,0,0,1,4
"Product","/products/flannel-5-linear-chandelier-blue","google","Pmaxbleeders_20714640181","search",142,407,0,0,2,3
"Product","/products/aldo-beaded-metal-hanging-light","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",150,407,0,0,3,5
"Product","/products/kalita-4-linear-light","google","LightingShopping_21285710791","search",162,405,0.012345679012345678,2,3,5
"Product","/products/blumen-glass-ceiling-light","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",189,404,0.005291005291005291,1,3,10
"Product","/products/dried-pineapple-flower-orange","google","Pmaxbleeders_20714640181","search",168,404,0,0,2,8
"Product","/products/hygge-triad-metal-floor-lamp","google","Pmaxbleeders_20714640181","search",142,398,0,0,1,2
"Product","/products/neob-black-ceramic-decorative-item","google","Pmaxbleeders_20714640181","search",205,397,0,0,0,4
"Product","/products/calix-outdoor-wall-lamp-gold","google","PMaxLightingNC_16828666790","search",222,397,0.0045045045045045045,1,2,2
"Product","/products/nielle-luxury-rectangular-chandelier","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",359,396,0,0,0,2
"Product","/products/orbit-led-ring-chandelier","google","LightingShopping_21285710791","search",290,395,0.0034482758620689655,1,2,2
"Product","/products/macaron-loft-led-ceiling-light-white","google","LightingShopping_21285710791","search",144,393,0,0,0,2
"Collection","/collections/pendant-lights","google","Search_Brand_18098202173","search",51,391,0.0196078431372549,1,2,6
"Product","/products/serenara-bronze-outdoor-hanging-light-large","google","PMaxLightingNC_16828666790","search",186,388,0.005376344086021506,1,1,3
